"","State","Year","Chamber","CI","EI","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","CI_Lag1","EI_Lag1"
"AK-1998","AK","1998",2.37117788445966,4.06731588983418,2.86789890204411,0.0186820953524921,0.470447214942593,0.000633360054218582,0.083798076726341,6.42971947803914,10.2848990105406,0.0266419309464211,NA,NA
"AK-1999","AK","1999",2.36996332832399,4.07906170535758,2.88312332917134,0.014515056035415,0.459277386039903,0.000823772170560874,0.0719557627481549,6.4377516497364,10.3069840575494,0.102556588325092,4.06731588983418,2.86789890204411
"AK-2000","AK","2000",2.36996332832399,4.07295066953443,2.93545134266906,0.0165390001922093,0.46386623313947,0.000528058095591257,0.0789382252992086,6.4425401664682,10.3733661739687,0.111541374732907,4.07906170535758,2.88312332917134
"AK-2001","AK","2001",2.36724860631977,4.05768057785051,2.88814706287405,0.0234352563902037,0.445584384135217,0.000496729857849586,0.0714912791891952,6.45204895443723,10.4220134529283,0.0907543632684641,4.07295066953443,2.93545134266906
"AK-2002","AK","2002",2.36724860631977,4.06560209335645,2.83615020372953,0.0246210941501899,0.453722636184441,0.000470256527229096,0.076198015445094,6.46458830368996,10.4563951766815,0.0760346862759976,4.05768057785051,2.88814706287405
"AK-2003","AK","2003",2.36602926555058,4.06902675423781,2.85186190313429,0.026380747760175,0.449174224467322,0.000395232615320266,0.0661283423354839,6.47389069635227,10.4925234368387,0.0610950993598108,4.06560209335645,2.83615020372953
"AK-2004","AK","2004",2.36602926555058,4.0876555740713,2.86733055874947,0.0240636655069502,0.422890041891514,0.00039068332197465,0.0666684357383601,6.49072353450251,10.52013158711,0.0788111804242898,4.06902675423781,2.85186190313429
"AK-2005","AK","2005",2.35636279867452,4.08597631255158,2.86048512414597,0.0197725657928735,0.434979255557806,0.000357109348123637,0.0701273256069258,6.50279004591562,10.5716502029019,0.0741793981742515,4.0876555740713,2.86733055874947
"AK-2006","AK","2006",2.35636279867452,4.10923317471585,2.71931979336044,0.0178988378284226,0.407686923349223,0.00032462928249445,0.079814483559397,6.51471269087253,10.6216443686001,0.0516432331518384,4.08597631255158,2.86048512414597
"AK-2007","AK","2007",2.35180373678154,4.10098910494077,2.63762773680566,0.0195605727253991,0.41516359763818,0.000304305200655343,0.0889741912503562,6.52209279817015,10.6861783180061,0.132781111233818,4.10923317471585,2.71931979336044
"AK-2008","AK","2008",2.35070836817577,4.09600984154116,2.5408142817263,0.019977439825258,0.424436455512196,0.000636086558435784,0.0980362745423457,6.53233429222235,10.7747809184795,0.113328685307003,4.10098910494077,2.63762773680566
"AK-2009","AK","2009",2.34584475398972,4.06560209335645,2.43097830776244,0.0245859313453596,0.430524074193776,0.00091674121133747,0.0967766609893309,6.54965074223381,10.762382195269,0.0667236320429081,4.09600984154116,2.5408142817263
