abb,state,2020,2021
AL,Alabama,0,1
AK,Alaska,0,0
AZ,Arizona,1,1
AR,Arkansas,0,1
CA,California,0,0
CO,Colorado,0,0
CT,Connecticut,0,0
DE,Delaware,0,0
DC,District of Columbia,0,0
FL,Florida,0,1
GA,Georgia,0,1
HI,Hawaii,0,0
ID,Idaho,0,0
IL,Illinois,0,0
IN,Indiana,0,1
IA,Iowa,0,1
KS,Kansas,0,1
KY,Kentucky,0,1
LA,Louisiana,1,1
ME,Maine,0,0
MD,Maryland,0,0
MA,Massachusetts,0,0
MI,Michigan,0,0
MN,Minnesota,0,0
MS,Mississippi,0,1
MO,Missouri,0,1
MT,Montana,0,0
NE,Nebraska,0,0
NV,Nevada,0,0
NH,New Hampshire,0,1
NJ,New Jersey,0,0
NM,New Mexico,0,0
NY,New York,0,0
NC,North Carolina,0,0
ND,North Dakota,0,0
OH,Ohio,0,1
OK,Oklahoma,1,1
OR,Oregon,0,0
PA,Pennsylvania,0,0
RI,Rhode Island,0,0
SC,South Carolina,0,0
SD,South Dakota,0,0
TN,Tennessee,1,1
TX,Texas,0,1
UT,Utah,0,1
VT,Vermont,0,0
VA,Virginia,0,1
WA,Washington,0,0
WV,West Virginia,0,1
WI,Wisconsin,0,0
WY,Wyoming,0,1
,,, 
